n	E	N	huitante	octante	quatre-vingts	cougner	biquer	courber	gatter	sécher	schwentzer	Un.traclet	Un.regio	Un.RER	Un.omnibus	Le.dur	Le maire	Le président	Le syndic	ruper	casser.la.croûte	manger.un.morceau	grailler	luncher	bouffer	Des.grolles	Des.godasses	Des.tricounis	Des.souliers	Des.godillots	Des.pompes	Tschüss	Adieu	Adjeu	Tout.de.bon	Tchô	Tchô.bonne	Ciao	pougner	frouiller	mascogner	copier	X.s.chinder	astiquer	poutzer	faire.les.à.fonds	faire.le.ménage	réduire	Une.torrée	Une.brisolée	Un.pique.nique	Une.canette	Une.chope	Une.cinq	Une.grande.bière	Une.pinte	Un.lycée	Un.collège	Un.gymnase	Une.braillée	Une.beuglée	Une.bramée	Une.bouellée	Piosser	Niaucher.Niauquer	Chouiner.Wouiner	Piomer	Chialer	Piauner	Grincher	Une.cramine	Une.fricasse	Un.cru	La.rebuse	Le.régent	Le.prof	Le.raitet	L.enseignant	Le.maître	Baboler	Barjaquer	Batoiller	Baidger	Causer	Elle.beutche	Elle.flambe	Elle.crame	Elle.chupie	Des.planelles	Des.catelles	Des.carrons	Je.ne.pouvais.plus.dire.papet	Je.me.suis.foutu.une.mine	J.étais.sur.Soleure	Je.me.suis.mis.sur.le.toit	Je.me.suis.ramassé.une.chiée.une.cuite	Je.me.suis.pris.une.tuée	Je.me.voyais.plus.les.mains	Papi.et.mami	Papa.et.maman	Père.et.mère	Le..vatr..et.la..mutr.	Le..pater..et.la.mère	Le.père.et.la.mère	Le.croûtion	Le.crotchon	Le.croûton	Le.trognon	Une.tétine	Une.lolette	Un.nouki	Une.raclée	Une.tapée	Une.chiée	Une.pétée	Une.peufnée	Une..é.péclée	Une.brontsée	Une.masse	Une.craquée	Un.matson	Une.bricole	Un.chouia	Une.tchette	Une.bedoume	Un.bobet	Un.boeuf	Un.niolu	Un.tocson	Un.topiot	Un.toyet	Un.dadet	J.arrive.incessamment.sous.peu	J.arrive.immédiatement	J.arrive.tout.soudain	J.arrive.dans.5	J.arrive	Gniaffer	Gifler	Baffer	Un.cheni	Un.commerce	Des.babioles	Un.petchi	Blètse	Biètse	Plètse	Tacon	De.la.réclame	Des.prospectus	De.la.publicité	De.la.pub	Des.tous.ménages	Foutimasser	Pétouiller	Faratzer	Glander	Baster	Bâcher	Capion	Sarcloir	Piochette	Piochard	Longeole	Boule.de.Bâle	Cervelas	Boutefas	Schublig	Wienerli	Un.dicastère	Un.département	Une.section	Un.ministère	Une.direction	Le.téléjournal	Le.TJ	Le.journal.télévisé	Le.JT	Les.nouvelles	Les.news	Les.infos
Saicourt	9	580	235	0	0	9	0	0	1	0	9	3	0	9	0	0	0	9	0	0	1	4	7	3	0	7	7	8	0	6	2	5	6	4	0	2	4	4	4	2	0	0	4	9	2	9	4	6	1	2	0	9	0	7	1	7	1	1	0	8	6	3	0	8	0	1	5	0	9	0	1	2	9	0	0	0	9	2	3	1	0	7	1	0	8	7	4	9	0	2	8	0	0	4	3	2	7	2	6	1	4	0	0	0	4	0	4	4	4	0	7	4	0	3	9	7	6	1	0	0	4	0	2	9	0	4	9	1	4	0	1	0	5	2	0	0	6	3	3	5	6	8	5	0	0	0	0	9	7	4	3	4	8	4	0	5	0	7	1	8	0	6	1	2	0	0	9	0	0	4	6	2	1	0	0	6	0	2	2	7	3	1
Saignelégier	36	563	235	1	0	35	0	5	4	0	30	12	2	35	1	1	1	36	0	0	7	17	24	8	1	24	19	32	1	14	1	19	13	9	3	5	16	7	23	10	0	0	14	35	6	36	4	23	1	30	0	21	1	32	5	18	7	30	1	10	28	8	0	25	0	1	22	0	35	0	1	8	32	3	0	3	30	19	11	12	0	21	3	9	28	23	12	30	0	21	26	0	0	33	9	10	31	10	24	8	26	0	0	0	9	0	5	23	14	2	33	9	0	14	35	29	25	1	0	3	12	0	4	36	0	1	35	9	13	8	1	5	15	14	2	1	25	17	22	23	28	32	16	6	12	4	1	19	28	20	4	10	33	13	0	10	0	34	5	34	1	13	16	9	0	1	33	0	3	21	9	13	9	0	7	17	10	3	12	26	1	12
Saillon	17	580	113	16	0	1	0	0	9	0	14	0	1	15	1	3	0	0	17	0	7	8	10	8	0	5	4	16	0	9	1	6	2	4	11	2	3	7	5	16	0	0	3	0	5	17	5	9	1	2	5	14	0	16	1	2	4	0	17	1	16	8	0	4	0	1	7	0	16	2	0	14	13	0	0	3	14	0	5	9	0	16	7	0	7	1	2	16	0	0	17	0	0	8	1	5	9	12	11	3	12	1	0	0	4	0	17	0	0	6	13	0	0	3	16	14	0	0	0	1	5	0	12	13	0	3	16	0	5	4	3	3	8	5	1	3	7	7	0	11	12	16	2	2	7	4	0	0	15	11	3	3	11	4	1	1	1	17	12	5	12	2	3	2	0	0	16	0	1	2	6	8	4	0	0	11	2	1	5	9	0	2
Saint-Aubin (FR)	14	566	195	14	0	0	1	0	9	0	10	1	1	12	4	1	1	0	0	14	12	3	6	1	0	6	3	12	1	5	7	8	6	3	5	2	7	9	8	14	0	0	7	1	4	14	5	7	2	2	1	14	9	8	0	2	1	1	10	8	13	8	1	9	0	13	5	1	12	3	2	14	5	2	0	7	12	0	4	6	0	6	12	0	9	0	7	13	3	5	14	0	0	11	1	7	10	4	12	2	9	2	0	0	3	2	4	3	7	4	14	2	2	3	14	13	0	3	0	4	10	0	6	14	3	10	11	0	8	0	8	10	6	4	1	7	13	5	2	11	8	13	4	2	5	6	1	0	12	8	4	5	8	10	4	6	0	12	7	11	0	7	8	1	0	0	10	1	4	10	7	1	2	0	4	7	3	2	7	5	3	4
Saint-Aubin-Sauges	2	549	194	0	0	2	0	0	2	0	0	0	1	0	0	1	0	0	2	0	1	1	2	0	0	0	1	2	0	1	1	1	0	0	0	0	1	0	2	1	0	0	2	0	0	2	1	1	0	2	0	1	0	2	0	0	0	0	0	2	1	2	0	0	0	0	1	0	2	0	0	2	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	2	0	1	2	0	0	0	1	0	1	0	1	0	2	0	0	0	0	0	1	0	1	0	2	0	0	1	1	1	0	1	0	0	0	0	0	2	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	2	2	0	0	0	0	0	0	2	2	0	0	0	0	1	1	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1
Saint-Blaise	10	566	207	1	0	9	0	0	6	0	6	2	1	10	2	2	0	1	7	2	3	8	9	4	1	4	8	9	0	5	2	7	4	2	0	2	7	2	7	9	0	0	4	3	4	10	2	5	0	8	0	8	0	9	0	7	4	7	0	3	9	6	1	5	0	1	5	0	10	1	1	4	8	0	0	0	8	1	5	6	0	3	3	0	9	1	6	9	0	1	10	0	1	8	3	3	6	2	4	1	8	0	0	0	3	0	5	4	4	0	9	1	0	3	9	9	2	0	0	2	4	0	4	10	0	1	9	0	3	0	2	3	5	4	0	0	7	4	4	8	7	7	4	5	2	3	0	1	8	7	5	5	9	7	2	6	0	7	5	8	0	4	4	2	0	1	10	0	3	6	4	3	1	0	3	6	5	3	5	7	0	2
Saint-Brais	8	575	239	1	0	7	0	5	1	0	6	0	1	4	1	3	0	8	0	0	0	6	5	1	1	3	1	6	1	4	0	1	0	2	0	1	1	0	7	0	0	0	1	7	1	7	3	5	0	0	0	8	0	7	1	4	0	5	0	3	6	1	0	4	0	0	2	0	7	0	0	2	7	1	0	2	4	5	3	3	0	3	1	6	3	6	3	3	0	7	1	0	0	1	3	0	7	1	3	0	3	2	0	0	1	0	0	5	3	1	5	6	0	2	5	4	3	0	0	0	3	0	1	8	0	2	8	0	3	0	0	1	2	3	0	1	3	2	4	4	5	5	3	0	4	0	0	6	4	4	1	1	5	1	0	4	0	5	2	6	0	3	5	1	0	0	8	0	0	4	6	1	1	0	0	3	5	0	0	3	0	1
Saint-Cergue	5	495	147	4	0	1	0	0	4	1	3	0	1	2	0	2	1	0	0	5	4	4	2	3	0	1	4	4	1	1	2	3	1	3	0	1	4	2	4	3	2	0	2	1	4	5	2	2	1	1	1	4	1	5	0	2	2	0	1	5	4	3	1	1	0	1	4	0	5	0	1	4	3	2	0	2	4	0	1	2	0	2	5	0	4	0	3	5	0	1	5	0	1	3	2	1	3	3	5	0	4	0	0	0	1	0	4	2	2	1	5	0	1	4	5	5	0	2	0	4	5	0	4	5	0	5	5	0	4	1	1	2	4	3	0	2	2	1	1	4	5	4	3	2	1	4	0	0	2	3	0	0	4	1	4	5	0	3	3	3	0	2	2	2	2	1	4	2	3	1	4	0	0	0	1	3	3	0	0	3	0	1
Sainte-Croix	12	526	186	12	0	0	0	0	10	0	7	0	3	6	0	2	3	0	0	12	9	5	6	4	1	8	8	9	1	5	5	8	2	8	3	3	6	8	4	6	5	0	4	4	3	12	5	7	1	1	0	12	0	12	0	3	2	0	0	12	12	6	3	10	0	1	8	1	12	4	1	12	8	1	1	5	9	0	2	4	0	7	11	0	6	0	7	11	0	4	11	0	2	6	5	3	7	3	8	0	8	2	0	0	3	0	11	2	6	3	12	0	1	5	11	11	0	6	0	0	9	0	8	10	0	10	10	0	7	0	7	9	6	5	0	9	9	5	2	4	11	11	6	2	5	4	7	0	8	12	5	2	4	5	7	8	0	8	6	7	1	8	1	4	0	0	12	5	5	2	4	2	4	0	2	10	2	1	1	8	0	3
Saint-George	4	510	152	4	0	0	1	0	2	0	4	0	0	4	1	0	0	0	0	4	3	1	1	3	0	0	3	2	0	2	0	1	1	2	1	1	2	3	0	2	0	0	2	0	1	3	1	1	1	0	1	3	0	3	0	2	1	0	0	4	4	1	0	1	0	0	2	0	2	1	0	3	0	1	0	0	3	0	1	0	0	2	2	0	1	1	1	3	0	0	4	0	0	2	0	2	4	1	2	0	3	0	0	0	1	0	4	0	0	0	4	0	0	2	4	4	0	0	0	1	0	0	2	3	0	2	4	1	2	0	3	3	1	2	1	1	1	1	1	2	2	2	0	2	0	1	1	0	2	1	1	0	2	0	0	2	0	3	1	3	0	2	2	0	0	0	4	0	1	0	0	0	3	0	1	2	1	0	0	1	0	1
Saint-Gingolph	4	551	138	3	0	1	0	0	1	1	4	0	1	3	0	1	0	0	4	0	1	2	2	2	0	2	2	3	0	1	1	1	1	1	1	1	2	1	1	2	0	1	2	0	1	3	2	2	0	0	1	4	1	4	0	1	0	0	4	0	3	1	1	2	0	1	2	0	4	1	1	3	2	1	0	0	2	0	2	3	0	2	2	0	4	0	1	4	0	1	4	0	0	4	1	1	1	2	1	1	4	1	0	0	1	0	2	1	1	1	4	0	0	1	4	2	0	0	0	2	1	0	2	3	0	3	3	0	1	1	1	1	1	1	0	1	2	2	0	3	3	3	1	1	3	2	0	1	2	2	1	1	4	1	1	0	0	4	3	2	1	0	2	1	0	0	4	0	1	0	1	0	1	0	2	3	0	1	1	1	0	1
Saint-Imier	26	564	226	0	0	26	0	0	8	0	16	15	3	20	0	8	2	23	1	2	5	13	21	4	1	12	13	20	0	11	6	13	9	8	2	6	16	6	12	13	0	0	8	21	4	25	7	15	1	16	0	22	1	19	3	14	5	7	1	24	24	10	0	15	0	2	8	0	26	1	5	12	22	2	0	0	25	4	9	8	0	15	4	1	20	16	13	17	0	3	25	1	1	16	4	8	23	9	15	1	18	2	0	0	7	0	8	14	11	3	25	5	2	7	22	14	12	1	0	1	14	0	7	25	0	8	24	11	12	0	3	6	12	6	3	2	18	11	10	18	21	23	5	3	14	2	0	19	18	12	4	5	20	3	3	12	0	22	7	21	0	14	10	2	0	2	24	1	5	20	10	10	3	0	4	16	9	1	4	11	4	6
Saint-Légier-La Chiésaz	3	557	147	3	0	0	0	0	2	0	3	0	0	3	0	0	0	0	0	3	2	2	2	1	0	2	1	3	0	2	0	2	2	1	1	0	2	2	0	3	0	0	1	1	2	3	1	2	0	0	0	3	0	3	0	1	2	0	1	2	3	0	0	1	0	1	2	0	3	0	0	3	1	0	0	0	3	0	1	1	0	1	3	0	1	0	1	3	0	0	3	0	0	1	1	0	1	1	1	0	3	0	0	0	0	0	3	0	0	0	3	0	0	0	2	3	0	1	0	1	1	0	1	3	0	2	2	0	2	0	2	2	1	1	0	1	2	0	0	2	2	2	2	0	1	1	0	0	2	2	1	0	2	0	0	1	0	2	2	1	1	0	2	0	0	0	3	0	0	0	1	1	0	0	1	1	1	0	0	1	0	2
Saint-Léonard	6	599	123	6	0	0	0	0	4	0	4	0	0	4	0	2	0	0	6	0	2	4	3	1	0	2	2	6	0	2	2	2	3	1	4	1	1	5	2	6	0	0	2	0	1	5	1	3	0	0	1	6	1	4	0	1	1	0	6	0	6	3	0	2	0	0	4	0	6	0	0	3	6	0	0	1	5	0	3	4	0	5	2	0	3	0	0	6	0	0	6	0	0	3	1	4	3	4	3	0	4	0	0	0	3	0	5	2	0	3	5	0	1	0	6	4	0	1	0	0	3	0	6	5	0	3	5	0	0	6	1	1	2	2	0	0	1	4	0	6	4	5	0	1	3	4	0	0	4	3	1	0	5	3	0	3	0	5	3	3	6	0	0	0	0	1	5	0	2	1	4	2	2	0	0	3	0	0	1	2	1	2
Saint-Livres	2	519	151	2	0	0	0	1	2	0	1	1	1	1	0	1	0	0	0	2	2	0	1	1	0	2	2	2	0	1	1	2	0	1	1	0	1	1	1	1	1	0	2	1	0	2	2	1	0	0	0	2	0	2	0	1	0	0	0	2	2	1	1	2	0	1	0	0	2	1	0	2	1	0	0	1	1	0	1	1	0	1	2	0	1	1	2	2	0	1	2	0	0	0	2	1	0	1	2	0	2	0	0	0	0	0	2	0	0	1	2	0	0	1	2	2	0	1	0	0	1	0	1	2	0	2	2	0	1	0	2	1	2	1	0	2	2	0	0	1	2	1	0	1	1	1	0	1	0	1	1	0	1	1	2	0	0	1	2	1	0	2	0	0	0	0	1	1	0	0	2	0	0	0	0	1	1	0	0	2	0	1
Saint-Martin (FR)	5	556	160	5	0	0	0	0	4	0	4	2	1	4	0	1	0	0	0	5	4	3	5	4	0	4	1	5	0	4	1	3	3	3	3	2	4	3	3	5	0	0	3	1	1	5	3	5	0	0	0	5	4	4	0	1	2	0	5	3	5	3	2	5	0	4	2	0	5	1	0	5	5	1	0	2	4	0	2	4	0	0	5	0	5	0	3	5	1	0	5	0	2	4	2	4	4	0	5	0	4	2	0	0	1	0	5	0	1	0	5	0	2	2	5	3	0	2	0	3	4	0	4	5	0	3	5	0	4	0	1	5	3	2	1	3	2	3	0	4	4	5	3	0	4	4	0	0	4	2	1	2	4	3	2	2	0	3	3	2	0	2	2	0	0	0	5	1	0	3	2	1	0	0	1	4	3	0	0	2	0	1
Saint-Martin (VS)	2	602	111	1	0	1	0	0	1	0	2	0	0	2	0	0	1	0	2	0	1	2	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	2	0	0	0	1	0	2	1	1	0	0	1	2	0	2	0	0	0	0	2	0	2	1	1	2	0	1	1	0	2	0	1	2	1	0	0	1	1	0	0	1	0	1	2	0	0	0	0	2	0	1	2	0	0	1	1	1	1	2	0	0	2	0	0	0	0	0	2	0	1	0	2	0	0	1	0	2	0	1	0	0	1	0	2	2	0	1	1	0	1	1	0	1	2	0	0	0	2	0	0	1	1	2	0	0	1	0	0	0	2	0	0	0	2	1	0	1	0	2	1	1	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0
Saint-Maurice	19	566	115	16	0	3	0	0	13	0	12	0	0	14	0	5	1	0	17	1	7	4	11	13	0	10	7	16	0	9	3	9	5	4	8	3	10	9	10	18	1	0	5	0	3	19	3	8	0	0	2	18	1	19	0	1	0	3	17	0	19	10	1	5	0	1	6	0	19	2	1	10	17	1	0	2	15	0	7	9	1	13	13	0	10	0	6	19	0	0	19	0	0	12	4	9	10	15	12	1	17	1	0	0	7	2	17	1	2	2	19	0	0	2	15	14	0	3	0	3	12	0	15	12	0	7	16	1	5	6	5	4	9	4	1	5	13	11	1	16	11	18	3	1	7	8	0	0	13	8	8	3	14	7	3	4	0	16	13	7	10	2	4	3	0	0	18	0	1	4	12	5	2	0	2	15	8	0	4	7	1	2
Saint-Prex	26	525	148	25	0	1	0	0	22	1	10	0	1	16	4	8	0	1	2	23	18	10	18	16	3	16	17	22	1	15	5	16	8	11	6	4	18	14	11	23	3	0	10	2	13	24	11	18	1	2	0	26	1	24	1	6	3	2	2	23	21	10	4	19	0	2	17	0	26	2	1	22	10	7	0	6	25	0	6	6	0	12	21	0	20	0	13	26	2	2	26	0	5	19	6	12	16	9	19	2	22	3	0	0	8	0	25	1	4	5	26	2	2	7	25	24	1	10	0	3	16	0	17	25	0	16	25	1	9	0	16	17	17	12	1	9	22	12	2	21	21	22	6	7	12	12	3	3	17	18	8	10	17	7	10	6	0	19	14	18	0	12	12	1	0	1	26	6	13	7	8	10	4	1	5	17	11	2	8	14	4	8
Salvan	11	566	106	9	0	2	0	0	6	0	7	1	0	11	0	0	0	0	11	0	3	2	6	6	0	3	4	9	1	2	2	5	4	2	7	1	5	6	3	10	0	0	3	0	2	11	2	2	0	0	1	10	1	11	0	1	3	0	10	2	9	5	0	4	0	2	6	0	10	2	0	7	9	1	0	0	11	0	2	5	0	9	3	0	6	0	3	10	0	0	10	0	0	10	1	7	5	8	8	0	8	0	0	0	4	1	11	0	1	2	10	0	0	1	10	8	0	1	0	0	6	0	7	8	0	5	10	0	4	1	0	2	5	2	1	1	8	4	0	9	4	11	0	0	6	5	0	1	5	3	3	2	10	2	0	2	0	10	8	3	10	0	0	0	0	0	11	0	0	0	7	0	3	0	0	6	2	0	2	3	2	3
Satigny	18	491	120	0	0	18	0	0	1	14	15	0	0	7	16	2	0	17	0	1	2	8	9	14	3	14	12	17	0	7	2	12	4	8	1	2	13	4	10	6	0	12	11	0	8	13	0	13	0	0	0	18	12	10	0	6	3	0	18	0	15	12	0	2	0	1	10	0	18	0	1	7	9	4	0	0	17	0	9	8	0	8	1	0	17	0	9	18	0	1	17	0	0	15	1	3	10	5	7	1	14	4	0	0	6	0	6	3	14	5	15	1	1	2	14	17	0	2	0	4	2	0	8	16	0	3	14	0	4	0	2	5	11	7	1	1	10	11	0	14	14	15	1	7	10	5	1	5	2	2	5	7	16	5	1	1	0	17	4	11	0	8	8	0	7	0	15	1	6	2	3	8	7	1	3	9	3	3	6	6	2	8
Saubraz	1	515	152	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1
Sauge	10	586	224	1	0	9	0	0	1	0	6	9	3	8	0	3	0	10	0	0	3	4	3	0	0	4	5	9	0	4	1	4	9	1	2	2	6	3	3	3	0	0	3	10	2	10	1	8	0	2	0	10	0	9	1	5	2	0	0	10	7	6	1	6	0	3	2	0	8	2	0	4	9	2	0	0	9	1	2	4	0	7	1	0	7	8	3	8	0	7	7	0	0	5	3	1	8	4	6	2	6	1	0	0	2	1	3	4	4	1	5	9	0	2	9	7	7	1	0	0	3	0	3	9	0	1	9	4	4	0	0	2	4	3	0	2	5	5	7	5	6	8	5	2	2	1	0	7	6	8	2	2	8	2	0	6	0	10	0	10	0	5	4	1	0	0	8	0	1	7	6	3	2	1	1	7	3	1	0	5	0	3
Saulcy	2	578	239	0	0	2	0	1	0	0	2	0	0	2	0	0	0	2	0	0	0	1	2	0	0	0	0	2	0	2	0	0	1	1	0	0	2	0	1	0	0	0	0	2	0	2	0	2	0	0	0	2	0	0	2	1	0	2	0	0	2	0	0	1	0	0	1	0	2	0	0	0	1	1	0	0	2	1	1	0	0	1	0	0	1	2	0	2	0	2	0	0	0	2	1	0	2	1	0	1	2	0	0	0	0	0	0	1	1	0	2	1	0	1	2	1	0	1	0	0	2	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	2	0	2	2	1	2	0	0	0	0	0	1	2	1	1	0	1	2	0	0	0	2	0	2	0	2	0	0	0	0	2	0	1	1	2	0	0	0	0	0	0	0	1	1	0	1
Saules (BE)	1	584	233	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1
Savigny	38	547	156	38	0	0	0	0	29	0	27	1	3	32	6	7	2	1	1	36	26	19	19	22	0	19	17	35	1	18	8	27	8	12	8	7	28	13	16	34	2	0	12	1	15	35	11	21	0	2	3	37	1	36	0	7	8	0	1	37	24	16	5	26	0	4	17	2	36	3	2	34	13	7	1	3	37	0	12	12	0	8	34	1	23	2	17	36	0	1	37	0	3	29	2	14	25	11	18	4	29	3	0	0	9	0	36	2	2	4	37	2	1	11	35	28	1	10	1	7	22	0	21	37	1	25	33	2	19	0	25	26	24	15	2	13	27	11	1	32	31	37	15	5	17	15	0	4	26	19	11	12	30	16	15	11	0	29	12	32	0	25	12	1	0	2	36	6	11	7	15	10	11	0	6	21	14	7	8	18	4	13
Saxon	16	580	110	15	0	1	0	0	13	0	10	1	1	13	1	2	0	1	15	0	5	7	14	8	1	5	6	13	1	6	3	8	2	1	5	5	9	7	8	14	0	0	7	0	7	15	2	9	0	0	0	16	0	16	0	2	0	0	16	1	14	9	4	4	0	0	8	0	15	0	0	8	16	0	0	2	14	0	5	9	0	16	6	0	7	1	8	15	0	0	16	0	0	6	3	6	9	12	9	2	15	1	0	0	5	1	15	0	0	3	14	2	0	5	14	14	0	2	0	1	8	0	10	14	0	8	15	0	4	6	1	4	6	4	1	8	10	5	0	11	11	15	3	3	8	5	0	1	15	13	6	4	9	4	0	2	1	16	9	8	10	2	3	2	0	0	16	0	1	1	5	5	2	0	2	13	5	1	3	6	0	1
Seehof	1	607	239	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1
Sembrancher	11	578	101	11	0	0	0	0	5	0	7	0	0	10	0	1	0	0	10	1	6	2	5	6	0	2	0	9	1	3	1	3	0	1	5	2	4	6	2	11	0	0	2	1	1	11	0	2	0	0	0	11	0	11	0	0	1	0	11	0	10	5	1	1	3	2	3	0	10	4	0	7	10	0	0	1	10	0	1	3	0	8	7	0	4	0	4	11	0	0	11	0	0	5	2	4	3	8	8	0	7	0	0	0	6	1	11	0	1	2	9	0	0	0	10	9	0	2	0	1	3	0	6	9	0	5	10	1	3	2	1	2	3	1	1	4	5	4	0	6	9	9	1	1	8	9	0	0	6	4	1	3	7	2	0	4	0	10	8	4	11	0	0	0	0	0	11	0	0	1	7	2	1	0	2	6	1	0	2	4	1	3
Semsales	26	561	160	25	0	1	1	1	14	0	19	3	4	20	6	0	0	1	0	25	18	7	16	11	2	15	3	22	1	15	7	12	10	10	5	2	15	15	11	24	0	0	7	2	4	24	6	19	3	0	0	26	13	21	1	2	2	2	21	8	21	3	1	19	0	21	5	0	24	9	1	23	17	4	0	6	24	0	10	17	0	16	17	0	18	3	6	24	7	2	25	0	2	17	1	15	15	6	20	1	24	1	0	0	5	5	14	3	7	5	26	1	0	3	25	23	1	2	0	4	18	0	19	20	9	11	26	0	10	0	8	21	12	6	1	6	22	7	1	24	16	26	9	1	10	11	2	1	21	14	9	10	25	14	3	7	0	24	12	14	0	14	8	2	0	0	24	1	10	3	14	3	3	0	6	18	4	4	5	11	0	5
Senarclens	6	527	162	6	0	0	0	0	6	0	2	0	0	6	0	0	0	0	0	6	4	1	3	3	1	3	3	5	0	3	3	4	1	2	2	2	5	3	0	5	0	0	2	2	1	5	2	3	0	0	1	6	0	6	0	2	1	0	0	6	4	2	1	4	0	1	2	0	6	0	0	5	3	0	0	3	5	0	1	2	0	4	4	0	4	0	1	6	0	2	6	0	1	5	0	2	3	3	4	0	5	1	0	0	2	0	6	0	0	3	6	0	0	5	6	5	0	3	0	1	1	0	3	6	0	6	6	1	2	0	3	4	4	2	1	3	5	3	0	5	6	5	2	3	2	3	1	0	3	4	0	1	6	4	4	2	0	4	5	3	0	4	1	1	0	1	5	1	1	3	2	1	2	0	0	4	1	2	2	3	0	2
Sergey	4	528	178	4	0	0	0	0	4	0	2	0	1	3	0	1	0	0	0	4	3	2	1	2	0	3	2	4	0	3	3	2	1	1	1	0	3	3	2	4	0	0	1	1	1	4	2	3	0	0	0	4	0	4	0	0	0	0	0	4	2	1	0	4	0	1	3	0	4	0	1	4	2	1	0	0	4	0	1	0	0	1	3	0	3	0	3	4	0	1	4	0	0	3	0	0	3	1	4	0	3	1	0	0	1	0	4	0	2	1	4	0	0	1	4	4	0	2	0	2	2	0	3	4	0	4	4	0	2	0	3	3	3	1	0	1	4	1	0	4	3	4	1	1	1	2	1	0	1	4	1	1	2	2	2	3	0	3	0	4	0	3	0	1	0	0	4	1	2	1	3	1	0	0	0	3	1	0	1	1	1	2
Servion	10	547	158	9	0	1	0	0	8	0	5	0	0	8	3	2	0	1	0	9	5	3	7	4	0	4	3	7	1	6	3	5	1	4	2	4	5	3	5	7	0	0	5	1	4	8	1	6	0	1	1	8	0	10	0	1	2	0	0	10	8	2	1	6	1	3	5	0	9	0	0	8	2	3	0	0	9	0	4	4	0	2	6	0	7	0	4	9	0	1	10	0	1	5	2	4	6	3	5	1	9	1	0	0	2	0	10	3	1	3	9	0	0	3	9	10	0	2	0	3	7	0	6	10	0	6	9	0	4	0	7	6	6	4	0	6	7	3	2	8	8	10	3	2	6	3	2	0	7	6	5	3	9	5	5	3	1	8	2	9	1	6	3	1	0	1	8	3	2	3	3	1	3	0	3	7	4	2	3	6	1	4
Sierre	127	602	123	111	0	16	0	0	71	0	93	1	4	99	3	31	1	4	115	7	38	54	80	50	1	57	35	111	1	57	25	64	26	19	42	29	65	50	73	124	1	2	37	3	40	121	21	68	2	4	8	120	9	123	0	5	6	4	121	5	113	73	8	14	0	7	40	1	122	3	6	61	103	8	0	15	109	0	40	52	0	94	55	0	73	0	43	125	0	10	124	1	2	73	12	35	60	90	75	27	95	6	1	0	34	1	119	12	8	30	117	17	7	14	112	90	1	7	0	17	54	1	71	108	2	31	104	1	26	101	5	18	50	51	7	22	47	57	2	104	85	118	17	12	42	47	2	3	94	63	45	37	103	26	5	27	0	118	75	59	109	9	13	3	1	2	118	1	14	37	46	34	32	1	24	89	29	12	23	49	8	39
